index,CMID,CMName,datasetID,variable,value
35,SM250169,Kikongo (Bakongo N & S),SD39,s110,4
46,SM454497,Tutsi/Hutu,SD708,s114,89
51,SM250365,Kikuyu,SD708,s114,36
100,SM250451,Luo (Tanzania and Kenya),SD708,s114,48
179,SM250906,Luhya,SD708,s114,4
40,SM250247,Gwari,SD554,s118,85
107,SM250604,Basange,SD554,s118,174
119,SM250344,Central Kanuri,SD554,s118,123
120,SM253862,Hausa Niger & Nigeria,SD554,s118,86
128,SM250879,Nigerian Fulfulde,SD554,s118,63
147,SM250597,Igbo,SD554,s118,94
152,SM251035,Igala,SD554,s118,93
153,SM454544,Northwest Gbaya,SD554,s118,27
162,SM250827,Yoruba,SD554,s118,218
7,SM250879,Nigerian Fulfulde,SD557,s119,109
14,SM250247,Gwari,SD557,s119,115
32,SM257321,San,SD532,s119,8
38,SM250907,"Mandinka (Senegal, Gambia)",SD417,s119,13
77,SM251035,Igala,SD557,s119,137
85,SM250247,Gwari,SD557,s119,305
86,SM253862,Hausa Niger & Nigeria,SD557,s119,130
108,SM250879,Nigerian Fulfulde,SD557,s119,313
112,SM250827,Yoruba,SD557,s119,298
137,SM258622,Wodaabe,SD557,s119,292
154,SM250344,Central Kanuri,SD557,s119,179
164,SM250216,Dioula,SD214,s119,51
166,SM250597,Igbo,SD557,s119,138
186,SM250604,Basange,SD557,s119,237
56,SM250916,Marati,SD344,slang,11
58,SM250974,Tamil,SD344,slang,16
83,SM253731,Gujarati,SD344,slang,4
89,SM254416,Kannada,SD344,slang,6
97,SM256972,Punjabi,SD344,slang,14
99,SM257613,Sindhi,SD344,slang,15
111,SM254505,Kashmiri,SD344,slang,7
114,SM254882,Konkani,SD344,slang,8
127,SM253895,Hindi,SD344,slang,5
138,SM256478,Oriya,SD344,slang,13
141,SM255472,Malayalam,SD344,slang,9
157,SM250977,Telugu,SD344,slang,17
178,SM251740,Assamese,SD344,slang,1
198,SM252202,Bengali,SD344,slang,2
41,SM256478,Oriya,SD340,slangrsp,10
44,SM250974,Tamil,SD340,slangrsp,14
65,SM252202,Bengali,SD340,slangrsp,2
67,SM254882,Konkani,SD340,slangrsp,18
69,SM254505,Kashmiri,SD340,slangrsp,7
88,SM257613,Sindhi,SD340,slangrsp,13
113,SM251740,Assamese,SD340,slangrsp,1
122,SM250916,Marati,SD340,slangrsp,9
131,SM250977,Telugu,SD340,slangrsp,15
148,SM254416,Kannada,SD340,slangrsp,6
151,SM255472,Malayalam,SD340,slangrsp,8
161,SM253731,Gujarati,SD340,slangrsp,4
174,SM253895,Hindi,SD340,slangrsp,5
187,SM256972,Punjabi,SD340,slangrsp,11
37,SM250451,Luo (Tanzania and Kenya),SD775,slresq,4
0,SM258622,Wodaabe,SD1500,smid,258622
201,SM257321,San,SD1500,smid,257321
202,SM252202,Bengali,SD1500,smid,252202
203,SM250043,Pare,SD1500,smid,250043
204,SM251921,Baka,SD1500,smid,251921
205,SM254416,Kannada,SD1500,smid,254416
206,SM255472,Malayalam,SD1500,smid,255472
207,SM250906,Luhya,SD1500,smid,250906
208,SM250216,Dioula,SD1500,smid,250216
209,SM250418,Lega,SD1500,smid,250418
210,SM251028,"Adamawa Fulani (Cameroon, Chad, Sudan)",SD1500,smid,251028
211,SM250259,Gogo,SD1500,smid,250259
212,SM250907,"Mandinka (Senegal, Gambia)",SD1500,smid,250907
