mergingID,stackID,variableCMID,varName,transform,Rtransform,Rfunction,summaryStatistic,aggBy,varLevel
SD55,SD2178,SM6450,Currentlybreastfeeding,,,,,,stack
SD55,SD2178,SM3876,Age,,,,,,stack
SD55,SD2178,SM6380,Heightincmdecimal,,,,,,stack
SD55,SD2178,SM6373,Woman_ID,,,,,,stack
SD55,SD2178,SM6355,EducationalLevelDHS,,,,,,stack
SD55,SD2178,SM6448,CurrentlyPregnant,,,,,,stack
SD55,SD2178,SM6400,Weightinkgdec,,,,,,stack
SD55,SD2178,SM6372,WealthIndex,,,,,,stack
SD55,SD2178,SM6371,Urbanresidence,,,,,,stack
SD55,SD2179,SM6427,Fulaniprop,,,,mean,category,stack
SD55,SD2179,SM6429,Oceaniaprop,,,,mean,category,stack
SD55,SD2179,SM6431,Chadicprop,,,,mean,category,stack
SD55,SD2179,SM6441,NativeAmericanprop,,,,mean,category,stack
SD55,SD2179,SM6432,SAfricanKhoesanprop,,,,mean,category,stack
SD55,SD2179,SM6436,Sandaweprop,,,,mean,category,stack
SD55,SD2179,SM6439,WPygmyprop,,,,mean,category,stack
SD55,SD2179,SM6428,NiloSaharanprop,,,,mean,category,stack
SD55,SD2179,SM6438,Cushiticprop,,,,mean,category,stack
SD55,SD2179,SM6440,Europeanprop,,,,mean,category,stack
SD55,SD2179,SM6437,Indianprop,,,,mean,category,stack
SD55,SD2179,SM6433,NigerKordofanianprop,,,,mean,category,stack
SD55,SD2179,SM6434,EastAsianprop,,,,mean,category,stack
SD55,SD2179,SM6435,Hadzaprop,,,,mean,category,stack
